Truth    Predicted    Review 

1        0            kenny reassures wife kids okay safe knows crisis comes head family
 
0        1            writing movie review film like proves oddly challenging

1        0            meat thirteen days big picture microcosm family though
 
0        1            horrible role one cant help amused

1        0            disaster bay pigs invasion year left distrustful taste mouths generals admirals blame kennedys backing cuban expatriates fighting fidel castro
 
0        1            nearly half film devoted loser loan shark wants profession even though limited relevance movie whole

1        0            internal battle power rages white house air force chief curtis lemay kevin conway advising president bomb cuba stone age armed forces set motion stop soviets blockade offensive weapons cuba
 
0        1            honest film basically excuse flash frontal nudity show sex scenes

1        0            political intrigues high office replaced exciting action
 
0        1            life eddie murphy martin lawrence play two young men wrongfully convicted murder sentenced life prison

1        0            sweaty palm sequence say least making squirm seat try help pilot avoid missiles
 
0        1            hour watching movie begin realize characters feel

1        0            greenwood play act caricature jfk foregoing typical kennedy boston accent
 
0        1            fortunately audience members theres chance escape nearest exit

1        0            instead plays man powerful figure maintain dignity office directing subordinates giving latitude make clear options
 
0        1            undoubtedly eddie murphys worst movie thats accomplishment

1        0            costner plays odonnell crammed old jfk speeches forced kennedyesque twang speech
 
0        1            remember golden child harlem nights

1        0            rest players first rate start finish steven culp looking sounding like robert kennedy
 
0        1            compared life look like citizen kane

1        0            filmmakers capture accusations laid stevenson accuracy using old style video footage good effect
 
0        1            life long predictable foulmouthed intermittently funny

1        0            kevin conway gives general lemay right bomb hell attitude
 
0        1            robert ramsey matthew stones script basically consist murphy lawrence referring everyone around motherf n

1        0            also notable christopher lawford navy pilot william ecker wingman takes dangerous mission lowlevel photo recon heart cuba bravely challenging kenny odonnells admonition get shot
 
0        1            life sophisticated belch

1        0            usual array vintage cars period make things look right
 
0        1            years ago movies stereotypically portrayed blacks subservient secondclass people good maids servants

1        0            film adaptation hunter thompsons infamous semiautobiographical hallucinogenfueled book title
 
0        1            part lot blacks racial groups improved

1        0            director terry gilliam twelve monkeys 810 brazil 710 fame took helm project fellow director alex cox sid nancy 7 510
 
0        1            new insidious stereotype creeping movies

1        0            apparently alienated everyone associated movie according gilliam
 
0        1            many recent films actors murphy chris tuckers blacks presented fasttalking conniving scam artists hiphop guncrazy sexcrazed youths

1        0            plot writer thompson depp heads las vegas attorney dr gonzo del toro cover motorcycle race
 
0        1            sets caricatures demeaning

1        0            trip systematically consume two bags grass seventyfive pellets mescaline five sheets high powered blotter acid salt shaker halffull cocaine whole galaxy multicolored uppers downers screamers laughers quart tequila quart rum case beer pint raw ether two dozen amyls
 
0        1            yet another brainless teen flick one surprise drugs sex

1        0            movie presents us results heavy drug use
 
0        1            director fluke hit swingers could well directed bunch noname actors watchabe film

1        0            hand decide stray addition nefarious elements system could imagine truly appreciating much druginduced pictures entire ride 5 510 sober dogs
 
0        1            although film still would stayed red despite cast

1        0            note read thompsons book
 
0        1            since male characters sudden outing closet considered surprise hollywood anymore

1        0            movie relies heavily style peculiar humour rather substance plot
 
0        1            though youve seen enough brave young women dealing personal problems screen insanity alcoholism hollywood releases yet another one deep emotional stories finding

1        0            moves admirably one scene next without much basis presenting us two days life writer hunter thompson seemed consume drugs alcohol anyone could ever imagine
 
0        1            gwennie sandra bullock young woman drowned problems alcohol

1        0            johnny depp chews role like overgrown child sucking chocolate lollipop
 
0        1            time pay 28 day stay courtordered rehab

1        0            filming depp apparently become fast friends reallife writer thompson known wander set time time sake checking newest barmaid local watering hole
 
0        1            must realize thing save redemption willpower commitment

1        0            thought seem exaggerate walk little bit much movie supposed wild exaggeration everything anything talk
 
0        1            important must realize place direction life understand life big party

1        0            one thing blow mind actual physical transformation endured actor benicio del toro role dr gonzo
 
0        1            film feels like rehab program whining moaning things said written million times

1        0            word street gained 40 pounds role must say look deliciously reprehensible
 
0        1            paranoid reason decided make film dramacomedy

1        0            movie visions bats floating head johnny depp looking goofy bald cornucopia drugravaged scenes filling intoxicated system ideas anarchy rebellion lost american dream
 
0        1            jokes funny characters almost deliberately delude really important complex issues alienation despair terror confusion loneliness

1        0            plan seeing movie without partnership mean drink mighty doobie suggest move aisle buy ticket godzilla 610 enjoy visual fabrications manufactured unstimulated mind
 
0        1            awesome power strength character actually takes overcome become clean

1        0            little known facts depp del toro snorted plenty powdered milk instead cocaine
 
0        1            simply light simplified unnecessary sweet taken seriously

1        0            johnny depp turned roles three musketeers speed 7 510 legends fall 7 510 smaller quirkier roles benny joon 6 510 whats eating gilbert grape
 
0        1            need say says dr cornell steve buscemi revelation century

1        0            1988 depp told rolling stone magazine hed tried every drug age 14
 
0        1            thats simple

1        0            johnny hung members oasis filming uncompleted divine rapture ireland later played slide guitar 1997 album
 
0        1            fact would rather watch lost space return 28 days

1        0            youve probably heard one priest rabbi never dosage featherweight charm sprinkled keeping faith
 
0        1            sandra bullock opportunity demonstrate capable speed

1        0            basketball court refer god squad
 
0        1            handles part surprising professionalism ease certainly saves film complete flop

1        0            relationship field brian abides catholic principle celibacy jacob reached point finding jewish bride practically mandatory
 
0        1            dominic west shines source gwenies devilish temptations elizabeth perkins steve buscemis great talents wasted unnoticeable shallow characters

1        0            least
 
0        1            although intellectually girl interrupted greater achievement 28 days superior visual aspect

1        0            though perfection word associate film general
 
0        1            nice flash back sequences occasionally impressive pacing overall technical aspect film ground floor

1        0            film settle often funny always cheerful
 
0        1            clean sober laugh man loves woman leaving las vegas many stronger films made issues

1        0            excluding ending acceptable seems lack charm spontaneity preceding romantic entanglements
 
0        1            words 28 days doesnt contribute moviemaking business level

1        0            aww hell
 
0        1            circumstances stay away film equals 8 103 minutes lost

1        0            pay see theaters might ask
 
0        1            2 days valley less pulp fiction knock

1        0            simply movie released us years short born
 
0        1            tries hard pulp fiction 2 days valley falls way short

1        0            skywalker defeats evil empire rising embrace something larger force
 
0        1            quite condemnation considering cast includes danny aiello james spader jeff daniels

1        0            film obviously quite starstudded
 
0        1            even gorgeous

1        0            lucas know ford would become one sought men hollywood jones voice would appear many times future
 
0        1            give writers credit fairly clever ways managed intersect lives group characters would otherwise never interacted

1        0            author even record applauding egoyans changes
 
0        1            characters respective stories fairly interesting inevitably brought intersect half characters really cared absolutely nothing

1        0            never heard moving poem read sweetly appropriate moment
 
0        1            put number half story half characters movie particularly interesting otherwise enjoyable watch

1        0            rest towns children come harms way live others seriously injured
 
0        1            story begins u

1        0            well single parent billys fault regularly scheduled trysts married rita
 
0        1            poseidons big new years cruise introduced ensemble people soon passengers left alive

1        0            fond calling dad cell phone ask money help interrupts many emotionally charged moments attempts sign townsfolk
 
0        1            theres hippie singer theres got morning turns company lonely man red buttons brother killed

1        0            unless raise dead billy snaps back
 
0        1            round group elderly couple jack albertson shelley winters live aboard ship beautiful teenage girl brother sailing alone adventurous scotsman roddy mcdowall

1        0            could barely breathe overcome sum total witnessed
 
0        1            everyones giant ballroom time shortly past midnight new year ship turns first side completely upside

1        0            cinematic brush stroke carefully laid egoyan beauty building dollop paint
 
0        1            case ship overturned top bottom

1        0            rated r mature themes sexuality profanity would fine teenagers
 
0        1            thus begins hour hushed trips long corridors burning rooms etc ship slowly fills water behind

1        0            gugino goes back home thanksgiving brings shore parents lane smith cindy pickett less thrilled
 
0        1            one note borgnines onenote performance cranky old man argues hackman every step way buttons hippie fall love although since isnt sex scene never find buttons really red albertson winters wonder theyll live see grandsons birth

1        0            gugino isnt ready anything like makes story engaged shore
 
0        1            winters whiny fat woman throughout movie stevens even notso affectionately calls fatass one scene finally finds purpose

1        0            forget jurassic park cliffhanger firm last action hero soninlaw film see summer
 
0        1            ridden thighs

1        0            soninlaw long gone forgotten blockbuster summer films still playing chance see
 
0        1            much funny innately disgusting pretty much sums poseidon adventure whole

1        0            film could also make great video fare leery spending seven dollars
 
0        1            times crisis people driven desperate measures

1        0            nothing lost watching television screen
 
0        1            course constitutes crisis differs person person

1        0            way jokes done new even though jokes old
 
0        1            may disastrous situation one may seen challenge another

1        0            also several new jokes least havent seen
 
0        1            deepak chopra known say ride rider

1        0            film would definitely good anyone else role
 
0        1            unfortunately clearthinking always reaction problems

1        0            way delivered lines kept laughing throughout time screen
 
0        1            wall street wheeler dealer steven taylor michael douglas man troubles

1        0            patrick renna played guginos little brother little annoying near macaulay culkin part time forgive
 
0        1            hes sunk money illegal financial activities blown face

1        0            shows may potential movies get corny young adults programming television
 
0        1            wife emily gwyneth paltrow highlyplaced un interpreter happy life either

1        0            wasnt given overly much film good job
 
0        1            marriage cold unfulfilling

1        0            first one good rest sucked said cinematicallysavvy teen last winters wes craven thriller scream statement referring films nightmare elm street series really putting franchise overkill general
 
0        1            unknown new lover david shaw viggo mortensen painter excon history bilking wealthy women money

1        0            comment certainly carries clout every truly great sequel appears couple duds making one wonder writers better sticking solely fresh ideas
 
0        1            emily prime target shes worth 100 million

1        0            like along comes scream 2 believe doozy slick sinister madly subversive good time movies intent sending hollywoods sequel syndrome much prequel poked fun slasher conventions
 
0        1            stevens solution predicament offer david half million kill wife

1        0            two years since pair overzealous horror movie fans clad edvard munchesque getups carved way young populace woodsboro california
 
0        1            artist accepts movie underway

1        0            trash tabloid reporter gale weathers courteney cox written bestseller based ordeal basis turned bad movie called stab
 
0        1            drawing frederick knotts play loosely based hitchcocks dial murder alltoo typical summer releases

1        0            least
 
0        1            douglas paltrow shown us skillful actors previous films

1        0            like first scream craven screenwriter kevin williamson inaugurate things bang
 
0        1            mortensen showed promise past

1        0            tragedy ensues screening moviewithinamovie setup allows plenty jokey moments including scene stab turns screams nowfamous drew barrymore prologue ear
 
0        1            person shows sense life david suchet new york detective mohamed karaman

1        0            b hang phone star69
 
0        1            surprises important

1        0            pinkett yells screen
 
0        1            hopeless quest

1        0            funny creepy stuff dont think ill ever feel safe movie theater effectively foreshadows ratio smart scares spoofy laughs road
 
0        1            story doesnt make much sense

1        0            certainly doesnt skimp shocks major one killing one cast member near dear heart actually questioned craven williamsons judgment considering much person added films
 
0        1            stevens wife loaded

1        0            however found bullets broadway snoozing bore
 
0        1            decide dire plan makes unreasonable choice

1        0            bullets got raving reviews didnt think id like
 
0        1            going hire someone kill wife would first choice lover

1        0            finally saw double feature ready wear think hated
 
0        1            idle hands distasteful crass derivative

1        0            funny
 
0        1            original thought found way horrorcomedy would die loneliness

1        0            thats say
 
0        1            plus question judgment sensitivity studio executives would green light release movie dealing slaughter innocent teenagers week tragedy littleton colo

1        0            really think going dull movie youre probably dead
 
0        1            plot little deals anton devon sawa highschool slacker whos hand goes murderous rampage becoming possessed

1        0            dead people forced movie theatres
 
0        1            along way hand kills antons parents two best friends

1        0            mark leeper dead
 
0        1            friends also slackers lazy return dead walk light far

1        0            said almost ghastly misfire
 
0        1            realize supposed pass comedy recent events surpassed screen

1        0            movie rated r one use word motherf
 
0        1            however hard laugh death days especially ones involving young people

1        0            amazing thing paul coxs innocence unlike movie
 
0        1            idle hands bad matter circumstances world outside

1        0            mean highest compliment
 
0        1            far idle hands goes time may never right

1        0            studios profile elderly couple rekindle 40yearold romance id want run hide
 
0        1            dont see life model worthy two hour film

1        0            sex scenes would handled farce producers would shed 20 years characters ages susan sarandon harrison ford could star true love would shine obstacle without explanation consequence
 
0        1            movie follows rise fall gia last name tumultuous woman doesnt particularly enjoy world fashion

1        0            decide catch old times soon find reinvigorating affair
 
0        1            becomes famous quickly handle finds hooked drugs woman cannot

1        0            complicating matters andreas frail health claires longtime husband terry norris cant understand hes suddenly become obsolete
 
0        1            last hour film one scene another gia getting high losing job going rehab

1        0            cox litters movie flashbacks including repeated vision roaring train
 
0        1            first hour film though actually quite engaging

1        0            pall cast whole affair
 
0        1            shown fashion world newcomers eyes perspective hadnt seen

1        0            master understated cox strings together series memorable moments
 
0        1            seemed excessive

1        0            andreas dream sequence amidst roar train conversations get whole picture andreas claires love
 
0        1            fine gia drug problem really need dominate film

1        0            thats heard scraping forks plates
 
0        1            quite possibly although since desire become model warning lost

1        0            characters unlike anything ive seen theyre people
 
0        1            exactly meaningful contribution society far im concerned

1        0            bravo cox wrote script making john monster claires affair automatically justified
 
0        1            aspiring broadway composer robert aaron williams secretly carries torch best friend struggling actor marc michael shawn lucas

1        0            norris effective john makes andreas claires love difficult accept
 
0        1            meanwhile marcs spoiled hetero female roommate cynthia mara hobel spends days lying apartment harrassing magazine editor tina brown

1        0            hes decent man
 
0        1            writerdirector victor mignattis romantic comedy ad campaign states supposed pardon pun gay ol romp hard much fun annoying selfabsorbed characters shallow personal problems marc cynthia sitcomlevel domestic crises trying kill bugshow hilarious robert marc go acting class riveting zaftig cynthia goes eating binges original

1        0            much presented audience expected material gets little drawn repetitive
 
0        1            constantly

1        0            note spoilers regarding films climax election course
 
0        1            marc whines turbulent romance apparent 10 david hugh panaro hunky musician across way robert whines able find right guy cynthia whines find job horrors

1        0            wont allow
 
0        1            terrible trio whine way happy ending wholly undeserved

1        0            whats amazing election every word criticism drawn rather opaque metaphor
 
0        1            say mufti splenetik isnt real name probably need explain went film expecting great things

1        0            early film learn tracy romantically sexually involved departed teacher
 
0        1            hes also put quite lot weight

1        0            satire required ought anyway take seriously act audience
 
0        1            small potatoes may say man able accessorize banter wants damnit aint broke fix

1        0            fine line straddle films ignore altogether drop dead gorgeous leaps infuriatingly mind
 
0        1            glimmer man plot pretty standard stuff drawing films elements hotter films year eg se7en

1        0            payne taylor hit right chord characters real people neither perfect rather leads flawed misguided individuals retain somewhat noble intentions heart
 
0        1            cook seige 2 seagal buddhist speaks chinese wears prayer beads intricate silk jackets normal black ensemble

1        0            sympathize still satire idiosyncratic behavior wrongdoing taken extreme audience knowingly chuckle also reflect meditate
 
0        1            heck deliver punchlines carry steady conversation someone large part film

1        0            minus half point though payne admitting seen ferris buellers day
 
0        1            much

1        0            whatever
 
0        1            trusted

1        0            one thing bothers hollywood films predictable endings
 
0        1            betrayal

1        0            devils advocate atypical hollywood ending everything happen
 
0        1            ill try wont easy

1        0            unfortunately devils advocate ending nearly collapses ruins entire film
 
0        1            cant depend fantasies depend

1        0            dont think quite prepared movie trailers made appear supernatural horror film satan
 
0        1            pretty good bring friend

1        0            kevin lomax keanu reeves defense attorney working client accused raping young girl
 
0        1            perfection

1        0            leaves courthouse lovely wife mary ann charlize theron approached offer travel new york city help choose good jury
 
0        1            everybody makes mistakes awhile

1        0            accepts mainly seeing paycheck receive flies new york wife
 
0        1            haunting arrived theaters kept hearing overdone special effects fact often unseen bumps night horror film far scarier put face courtesy special effects

1        0            meanwhile kevin nabs case surrounding alexander cullen craig nelson apparently murdered three people
 
0        1            decides best way get results trick group fairly unstable individuals spend days haunted mansion

1        0            fellow employee murdered park mother judith ivey reveals information kevins real father
 
0        1            also fails mention mansion reputation strange goingson

1        0            big nightmare
 
0        1            since doesnt quite marquee power liam neeson ms zetajones parts seem big larger original

1        0            devils advocate plays fairly straightforward odd reason screenwriters wanted surprise everyone giving us something dont expect
 
0        1            real stars special effects combined fairly overdone sets

1        0            surprise conclusion supposed make us feel good go home without feeling depressed disturbed
 
0        1            take movie supernatural elements house start interact hapless insomnia patients

1        0            devils advocate messes completely ironically felt depressed ending would ended ten minutes early
 
0        1            set

1        0            disturbing horrible aspect movie poor ending mention didnt like ending
 
0        1            part rooms play story

1        0            devils advocate hand ends unpredictably us knowing lot knowing nothing
 
0        1            fact character mousy pathetic factored comes around average slightly mark

1        0            confusing recommend watching film reading
 
0        1            idea liam neeson took role

1        0            taking us terror ride intrigue follow kevin lomax around centerpiece film
 
0        1            doubt liam want lock prints movie secure vault along copies darkman

1        0            perhaps shocking thing devils advocate extreme amount everything
 
0        1            fact character bisexual icing cake

1        0            earned r rating reason
 
0        1            fortunately something well

1        0            plenty nudity sex violence gore gore violence sex nudity
 
0        1            fairly good size part obvious purpose movie eyecandy

1        0            however movie merits nudity sex among
 
0        1            prove quite nicely special effects irrelevant horror film

1        0            dont condone sex nudity films might well enjoy
 
0        1            advice

1        0            biggest merit film also interesting watch
 
0        1            four movies earned jamie lee curtis title scream queen early 80s

1        0            interesting character screen forced world wanted
 
0        1            terror train takes place else train charted premed students finishing first four years higher education

1        0            something devils advocate contained actually shocked reasons extreme violence nudity especially film nature
 
0        1            beginning hes talking head tells one coworkers think whens last time someone built shopping mall next train station

1        0            story actually something say humanity
 
0        1            course loudmouth conductor first person find bloody body gone brings skeptical trainman back view

1        0            one last scenes john milton explains kevin lomax game god plays children satan course
 
0        1            party three years earlier group students

1        0            milton says true society found laughing loud partially thinking funny patially realizing true
 
0        1            send jamie lee stand behind bed talk geek comes noticing form bed

1        0            moral dilemmas present throughout devils advocate giving added depth many films skip writing im sure came straight novel based
 
0        1            bastards

1        0            probably big surprise film keanu reeves
 
0        1            still hasnt forgiven guy board terror train asshole cant good time without hurting somebody

1        0            proven uneven actor successes speed bombs johnny mnemonic tops performance
 
0        1            killing starts train even leaves station

1        0            judith ivey manages credible performance mother holds secret kevins past
 
0        1            speaking weirdlooking dorks still persist entertainment scene one terror trains famous gimmicks appearance david copperfield magician regails aboard illusions set disco music

1        0            connie nielson effective role also appears naked several times
 
0        1            theres greatest trick getting laid hair looks like

1        0            one familiar face twist coach star craig nelson gives good performance
 
0        1            makes wonder horror movie set rv could much worse

1        0            devils advocate rated r sexuality nudity violence language gore
 
0        1            mean last time someone built shopping mall next train station anyway

1        0            director taylor hackford managed create disturbing motion picture ruin good chunk tension final fifteen minutes
 
0        1            terror train definitely cinematic equivalent sleeper car

1        0            guess biggest problem ending fact went theater expecting disturbing film hackford gave long time
 
0        1            men brought us funny twins

1        0            end got jitterish relied hollywood safety net order make film mainstream
 
0        1            unfortunately due circumstances beyond control denied permission test new drug humans subsequently lose funding

1        0            personally would preferred ending fifteen minutes early
 
0        1            still believing drug work decide test anyway hesse

1        0            latest art house interpretation whit stillmans last days disco
 
0        1            theory drug prevent man miscarrying surely work woman

1        0            stillman made metropolitan barcelona using actors uses discos final hours highlight another conversationheavy movie benefits typically astute writing director
 
0        1            well must producers junior

1        0            young upwardlymobile professional dont call yuppies
 
0        1            danny devito wasted movie

1        0            talk cheap last days disco must surely extremely inexpensive movie shoot
 
0        1            seeing movie devito probably would wished pulled someone street

1        0            two friends often doll head nameless nightspot looking good looking excitement ms beckinsale sure looks good dancefloor
 
0        1            thompson best known jane austin adaptations also fine comedian

1        0            des played stillman favorite christopher eigeman one clubs managers whose job line sneaking ad agency buddies back
 
0        1            certainly managed

1        0            whether true makes convenient excuse dump latest girlfriend jennifer beals small soulbaring turn
 
0        1            1989 director edward zwick began career powerful civil war drama glory since made continuous disappointments least 1994s legends fall 1996s courage fire

1        0            jimmy mackenzie astin advertising exec end picture winds heading new job opportunity spain visions barcelona
 
0        1            two films werent bad good zwicks latest film siege finally made one

1        0            josh matt keeslar assistant district attorney dreams able say book clown
 
0        1            siege modernday actionthriller focuses terrorism sweeping new york city

1        0            robert sean leonard plays another one alices revolving suitors two amusing exchange true definition virginity
 
0        1            investigating matter fbi agents anthony hubbard denzel washington frank haddad tony shalhoub first hit ordeal city bus explodes several innocent people

1        0            film make robert sean leonard palatable worthy respect book
 
0        1            soon meet cia operative elise kraft annette bening may well hold key identity arab terrorist

1        0            geez french saunders field day set work parodying
 
0        1            movies simply dont need made siege may well one

1        0            sorry nonbritish readers may familiar french saunders apologies
 
0        1            oh sure zwick thinks making meaningful action film since added lots exposition scenes audience basically lectured horrors terrorism really made actually substantial say die hard also starred bruce willis

1        0            pair british comediennes jennifer saunders later went become edina monsoon absolutely fabulous series film spoofs years back including alien exorcist misery
 
0        1            siege contains three fine actorswashington bening shalhoubbut washington stuck character contains ounce even remote development

1        0            im still left screaming telly revulsion
 
0        1            bening slightly intriguing character work shalhoub pretty much steals show even though real character

1        0            jazzy special effects cheesy action sequences one relies solely upon rob reiners stylish directing wonderful performances bates caan
 
0        1            siege constantly heavyhanded entertaining insightful goes prove even best actors save film lacks satisfactory screenplay

1        0            anyway tension builtup masterful aplomb scenes almost agonisingly tense
 
0        1            long ago films constructed strong dialogue original characters memorable plot points solid acting

1        0            theres dinner scene seldon goes nerveshattering lengths poison wine
 
0        1            opus power love redemption family follows tragic mean tragic life novalee nation natalie portman

1        0            nervewracking scenes include bit annie gone town sheldon starts snooping around house
 
0        1            hitting road hick guitarplaying boyfriend rustedout gm novalee dreams blue skies bakersfield sipping chocolate milk beneath plastic umbrella unborn baby due month

1        0            realises tries get back room cut
 
0        1            novalee decides secretly hole walmart shes brightest bulb stagelights

1        0            car shes getting near make
 
0        1            wacky librarian keith david comes rescue goes labor one night camped outdoors section store

1        0            ok sequences arent exactly original perhaps unpredictable work
 
0        1            moves family befriends everyone town including ashley judds character five kids still work parttime nurse fights religious freaks survives tornado breaks heart wacky librarian saved receives inheritance builds martha stewartesque house becomes awardwinning photographer manages always look like stepped cosmo shoot anything kid

1        0            film edge couch biting nails shouting screen suspense something right
 
0        1            disjointed pacing key scenes time structure confusing would throw steve prefontaine

1        0            course nauseating sequence aforementioned hobbling
 
0        1            taking two great comedic screenwriters babaloo mandel lowell ganz forcing write drama par oprahs book club

1        0            cue block wood placed strategically ankles huge sledgehammer feel ill thinking
 
0        1            however main problem film never answers poignant question brought heart

1        0            nasty
 
0        1            one ever seems find piece junk

1        0            given one ridiculously overthetop fight scenes ive ever seen
 
0        1            dont get know characters dont care lives dies

1        0            gets hit head typewriter set fire head smashed wall wont die
 
0        1            film wants beowolf comes across failed actionadventure story aspiring epic proportions achieving levels

1        0            sheldon isnt terribly good shape either
 
0        1            belongs back shelf

1        0            werent gorey would almost laughable
 
0        1            take payback example movie people seem like

1        0            church calvinistic strict church bells removed clocktower considered unrestrained
 
0        1            end film course hollywoodized

1        0            cant satisfy need physical love try persuade finding lover ulterior motive make describe affairs every detail
 
0        1            say happy guy root beats impossible odds win prize

1        0            imagine poor girl
 
0        1            miss originality film really

1        0            becoming pregnant fifth time learns tranquilizers taken seriously deformed unborn child
 
0        1            paybacks tagline get ready root bad guy promised original idea far truth

1        0            husband decide help doctor abortion
 
0        1            gibsons character certainly broke law character honor odd gibson seems little wouldnt kill front children protects blond woman

1        0            1960s abortion illegal
 
0        1            gibson recovers multiple gunshots pissed naturally whatever takes get exact amount money back less

1        0            sets media frenzy immediately sherri hated woman world
 
0        1            makes point strictly 70 grand

1        0            husband fired jobs reporters surrounding home times importantly one country eventually countries perform abortion
 
0        1            thats allowed root

1        0            flaw ever satisfactory confrontation sherri opponents
 
0        1            side note ive checked internet movie database discovered 38th person post newsgroup review payback

1        0            one woman passing street telss burn hell sherri appropriately yells back tell im supposed woman answer
 
0        1            im trying gain membership online film critics society posting many reviews

1        0            one apparently answer wanted control choice sherri husband
 
0        1            capsule science fiction allegory

1        0            wanting another child wanting child cause severe changes family none could beneficial
 
0        1            officials cut water services center contagion

1        0            sydney pollack served executive producer made hbo movie
 
0        1            man apartment hole floor harasses downstairs neighbor

1        0            second largest box office hit us summer us150 million states alone film successful effort yet
 
0        1            slow harrowing film missed possible

1        0            audiences shown chaotic worrisome state entire ground control crew frantically attempt come ideas save astronauts hurtling space
 
0        1            one apartment building still houses people

1        0            bad point though apollo 13 features much technical jargon many physics concepts script
 
0        1            woman formerly office worker yang kueimei tormented upstairs neighbor lee kangsheng hole cut plumber floor using drain

1        0            consider scientifically illiterate might slight problem understanding caused caused course show
 
0        1            neighbor runs small failing grocery store

1        0            movie emotional simply alone enough
 
0        1            upstairs neighbor vomits pours water etc small almost entirely onesided war starts

1        0            movies forgotten quickly unfortunately something produced hollywood great frequency
 
0        1            incongruous songs added show downstairs neighbors dreams

1        0            whole premise telling story interesting showing brand new footage wreck titanic adding much flavor already good movie
 
0        1            songs popular taiwanese singer grace chang

1        0            characters played memorably leonardo dicaprip kate winslet receive least nominations roles
 
0        1            apartment falling apart

1        0            looking acting done movie seems arent acting actually characters movie
 
0        1            wallpaper separating walls

1        0            casting movie could really better humble opinion
 
0        1            plumbing failing

1        0            yes read correctly ship character
 
0        1            stars considered great dramatic actors one reviewer

1        0            respects cannot tell effects simply think see happened happening imagination good
 
0        1            keifer sutherland one hollywoods talented yet underrated actors reese witherspoon exceptionally talented likely become major star

1        0            method telling story also good maybe totally unique effective none less
 
0        1            seeing end result undoubtedly asking question

1        0            regardless anything mentioned movie grandiose production sheer size project undertaken something marveled
 
0        1            keep making movies like

1        0            get chance see movie go
 
0        1            note reese great fear happened time

1        0            might best movie world
 
0        1            harder building bridge troubled waters

1        0            none 3 hours 13 minutes movie bored attention wane movie
 
0        1            incidentally whole heck lot harder writing movie review

